director_id,title,director,category,type,duration
d5610,Tayo the Little Bus Movie: Mission Ace,Ryu Jung-woo,Children & Family Movies,Movie,48 min
d5611,Ride or Die,Ryuichi Hiroki,"Dramas, International Movies, LGBTQ Movies",Movie,143 min
d5612,Dragon Quest Your Story,Ryuichi Yagi,"Action & Adventure, Anime Features, Children & Family Movies",Movie,103 min
d5613,Love Beats Rhymes,RZA,"Dramas, Music & Musicals, Romantic Movies",Movie,106 min
d5614,Cut Throat City,RZA,Dramas,Movie,123 min
d5615,Jeans,S. Shankar,"Comedies, International Movies, Romantic Movies",Movie,166 min
d5616,Aerials,S.A. Zaidi,"International Movies, Sci-Fi & Fantasy",Movie,90 min
d5617,Baahubali 2: The Conclusion (Hindi Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,165 min
d5618,Baahubali 2: The Conclusion (Malayalam Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,166 min
d5619,Baahubali: The Beginning (Malayalam Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,160 min
d5620,Baahubali: The Beginning (English Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,138 min
d5621,Baahubali: The Beginning (Tamil Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,159 min
d5622,Baahubali: The Beginning (Hindi Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,159 min
d5623,Baahubali 2: The Conclusion (Tamil Version),S.S. Rajamouli,"Action & Adventure, Dramas, International Movies",Movie,166 min
d5624,Tremors 4: The Legend Begins,S.S. Wilson,"Comedies, Horror Movies, Sci-Fi & Fantasy",Movie,101 min
d5625,Tremors 2: Aftershocks,S.S. Wilson,"Comedies, Horror Movies, Sci-Fi & Fantasy",Movie,100 min
d5626,Love Ni Bhavai,Saandeep Patel,"Comedies, International Movies, Romantic Movies",Movie,163 min
d5627,Devil's Bride,Saara Cantell,"Dramas, International Movies",Movie,108 min
d5628,Whose Streets?,Sabaah Folayan,Documentaries,Movie,102 min
d5629,Fireflies,Sabal Singh Shekawat,"Dramas, Independent Movies, International Movies",Movie,99 min
d5630,#AnneFrank - Parallel Stories,Sabina Fedeli,"Documentaries, International Movies",Movie,95 min
d5631,Baaghi,Sabir Khan,"Action & Adventure, International Movies",Movie,127 min
d5632,Too Handsome to Handle,Sabrina Rochelle Kalangie,"Comedies, Dramas, International Movies",Movie,106 min
d5633,Mythily Veendum Varunnu,Sabu Varghese,"Horror Movies, International Movies",Movie,88 min
d5634,November Criminals,Sacha Gervasi,"Dramas, Thrillers",Movie,86 min
d5635,Mercenary,Sacha Wolff,"Dramas, International Movies, Sports Movies",Movie,99 min
d5636,Ideachi Kalpana,Sachin,"Comedies, International Movies, Romantic Movies",Movie,124 min
d5637,Maza Pati Karodpati,Sachin,"Comedies, International Movies, Romantic Movies",Movie,132 min
d5638,Ugly Aur Pagli,Sachin Kamlakar Khot,"Comedies, International Movies, Romantic Movies",Movie,115 min
d5639,Aiyyaa,Sachin Kundalkar,"Comedies, International Movies, Music & Musicals",Movie,151 min
d5640,Chopsticks,Sachin Yardi,"Comedies, Dramas, Independent Movies",Movie,101 min
d5641,Kyaa Super Kool Hain Hum,Sachin Yardi,"Comedies, International Movies",Movie,136 min
d5642,C Kkompany,Sachin Yardi,"Action & Adventure, Comedies, International Movies",Movie,127 min
d5643,Wedy Atkalam,Sadeq Behbehani,"Comedies, Dramas, International Movies",Movie,72 min
d5644,Either Me Or My Auntie,Saeed Hamed,"Comedies, International Movies",Movie,105 min
d5645,Chippa,Safdar Rahman,"Comedies, Dramas, Independent Movies",Movie,92 min
d5646,Bazaar,Sagar Sarhadi,"Dramas, Independent Movies, International Movies",Movie,121 min
d5647,Theeram,Saheed Arafath,"Dramas, International Movies, Romantic Movies",Movie,104 min
d5648,Katha,Sai Paranjape,"Comedies, Dramas, Independent Movies",Movie,140 min
d5649,Husbands in Goa,Saji Surendran,"Comedies, International Movies, Music & Musicals",Movie,150 min
d5650,Himmatwala,Sajid Khan,"Action & Adventure, Comedies, International Movies",Movie,140 min
d5651,What the Jatt!!,Saket Behl,"Comedies, International Movies, Romantic Movies",Movie,140 min
d5652,Pyaar Ke Side Effects,Saket Chaudhary,"Comedies, International Movies, Romantic Movies",Movie,120 min
d5653,Ankahi Kahaniya,Saket Chaudhary,"Dramas, Independent Movies, International Movies",Movie,111 min
d5654,I Need Romance,Sakon Tiacharoen,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,1 Season
d5655,Jumping the Broom,Salim Akil,"Comedies, Romantic Movies",Movie,113 min
d5656,Bad Rap,Salima Koroma,"Documentaries, Music & Musicals",Movie,83 min
d5657,Ginger & Rosa,Sally Potter,"Dramas, Independent Movies",Movie,90 min
d5658,Fan of Amoory,Salmeen AlMurry Amer,"Children & Family Movies, Dramas, International Movies",Movie,109 min
d5659,1898: Our Last Men in the Philippines,Salvador Calvo,"Dramas, International Movies",Movie,130 min
d5660,Adú,Salvador Calvo,"Dramas, International Movies",Movie,120 min
d5661,You've Got This,Salvador Espinosa,"Comedies, International Movies, Romantic Movies",Movie,112 min
d5662,The Burial of Kojo,Sam Blitz Bazawule,"Dramas, Independent Movies, International Movies",Movie,81 min
d5663,ReMastered: The Lion's Share,Sam Cullman,"Documentaries, Music & Musicals",Movie,84 min
d5664,Goldie,Sam de Jong,Dramas,Movie,89 min
d5665,Rush: Beyond the Lighted Stage,Sam Dunn,"Documentaries, Music & Musicals",Movie,107 min
d5666,ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,Sam Dunn,"Documentaries, Music & Musicals",Movie,90 min
d5667,ParaNorman,Sam Fell,"Children & Family Movies, Comedies",Movie,93 min
d5668,Misha and the Wolves,Sam Hobkinson,"Documentaries, International Movies",Movie,90 min
d5669,Treasures from the Wreck of the Unbelievable,Sam Hobkinson,"Documentaries, Dramas, International Movies",Movie,82 min
d5670,Pretty Little Stalker,Sam Irvin,Thrillers,Movie,84 min
d5671,Malcolm & Marie,Sam Levinson,"Dramas, Independent Movies",Movie,106 min
d5672,Hulk Vs.,Sam Liu,"Action & Adventure, Sci-Fi & Fantasy",Movie,83 min
d5673,Batman: The Killing Joke,Sam Liu,Action & Adventure,Movie,77 min
d5674,Planet Hulk,Sam Liu,"Action & Adventure, Sci-Fi & Fantasy",Movie,81 min
d5675,Thor: Tales of Asgard,Sam Liu,Children & Family Movies,Movie,77 min
d5676,Lang Tong,Sam Loh,"International Movies, Thrillers",Movie,82 min
d5677,Guest House,Sam Macaroni,Comedies,Movie,84 min
d5678,Revolutionary Road,Sam Mendes,"Dramas, Romantic Movies",Movie,120 min
d5679,American Beauty,Sam Mendes,Dramas,Movie,122 min
