country_id,country,title,rating
cn341,Belgium,The Unknown Girl,TV-MA
cn342,Belgium,The Danish Girl,R
cn343,Belgium,Wasp Network,TV-MA
cn344,Belgium,Earth and Blood,TV-MA
cn345,Belgium,Jack and the Cuckoo-Clock Heart,PG
cn346,Belgium,Cézanne et moi,R
cn347,Belgium,Magic Snowflake,TV-Y
cn348,Belgium,Dries,TV-PG
cn349,Belgium,The Salvation,R
cn350,Belgium,Ferry,TV-MA
cn351,Belgium,Moonwalkers,R
cn352,Belgium,Message from the King,R
cn353,Belgium,And Breathe Normally,TV-14
cn354,Belgium,Personal Shopper,R
cn355,Belgium,Blue Is the Warmest Color,NC-17
cn356,Belgium,Girl,R
cn357,Belgium,In the Shadow of Iris,TV-MA
cn358,Belgium,Break,TV-MA
cn359,Belgium,The Break,TV-MA
cn360,Belgium,Close Enemies,TV-MA
cn361,Belgium,Hampstead,PG-13
cn362,Belgium,This Was Tomorrow,NR
cn363,Belgium,The Smurfs 2,PG
cn364,Belgium,Out of Life,TV-MA
cn365,Belgium,Diary of a Chambermaid,NR
cn366,Belgium,April and the Extraordinary World,PG
cn367,Belgium,Burn Out,TV-MA
cn368,Belgium,Nothing to Hide,TV-MA
cn369,Belgium,Yellowbird,PG
cn370,Bermuda,Mission Blue,TV-PG
cn371,Botswana,Naledi: A Baby Elephant's Tale,TV-PG
cn372,Brazil,Brotherhood,TV-MA
cn373,Brazil,Frances Ha,R
cn374,Brazil,"Edmilson Filho: Notas, Comedy about Relationships",TV-MA
cn375,Brazil,Nothing to Lose,PG
cn376,Brazil,Gabriel and the Mountain,TV-MA
cn377,Brazil,Earth to Luna!,TV-Y
cn378,Brazil,The Last Hangover,TV-MA
cn379,Brazil,"Good Morning, Verônica",TV-MA
cn380,Brazil,Elena,TV-MA
cn381,Brazil,Mystery Lab,TV-PG
cn382,Brazil,Boy and the World,PG
cn383,Brazil,The Killer,TV-MA
cn384,Brazil,Emicida: AmarElo - It’s All For Yesterday,TV-MA
cn385,Brazil,DJ Cinderella,TV-PG
cn386,Brazil,O Silêncio do Céu,TV-MA
cn387,Brazil,Most Beautiful Thing,TV-MA
cn388,Brazil,Afronta! Facing It!,TV-PG
cn389,Brazil,A new Capitalism,TV-14
cn390,Brazil,Radical: the Controversial Saga of Dada Figueiredo,TV-MA
cn391,Brazil,Borges,TV-MA
cn392,Brazil,Old Lord Savanna,TV-14
cn393,Brazil,My Love: Six Stories of True Love,TV-PG
cn394,Brazil,Thiago Ventura: POKAS,TV-MA
cn395,Brazil,Liss Pereira: Reteniendo líquidos,TV-14
cn396,Brazil,Rich in Love,TV-14
cn397,Brazil,Fishtronaut: The Movie,TV-Y
cn398,Brazil,Wasp Network,TV-MA
cn399,Brazil,Maurício Meirelles: Generating Chaos,TV-MA
cn400,Brazil,Rafinha Bastos: Ultimatum,TV-MA
cn401,Brazil,Samantha!,TV-MA
cn402,Brazil,Anitta: Made In Honório,TV-MA
cn403,Brazil,Dating Around: Brazil,TV-14
cn404,Brazil,On Yoga The Architecture of Peace,TV-14
cn405,Brazil,Cupcake & Dino - General Services,TV-Y7
cn406,Brazil,Invisible City,TV-MA
cn407,Brazil,The Beginning of Life: The Series,TV-PG
cn408,Brazil,Just Another Christmas,TV-MA
cn409,Brazil,Double Dad,TV-G
cn410,Brazil,A Queen Is Born,TV-14
cn411,Brazil,Laerte-se,TV-MA
cn412,Brazil,Whindersson Nunes: Adult,TV-MA
cn413,Brazil,The Chosen One,TV-MA
cn414,Brazil,Little Men,PG
cn415,Brazil,Beckett,TV-MA
cn416,Brazil,Back and Forth,NR
cn417,Brazil,Vai Anitta,TV-MA
cn418,Brazil,Kardec,TV-14
cn419,Brazil,City of God: 10 Years Later,TV-MA
cn420,Brazil,Forever Chape,TV-MA
cn421,Brazil,The Edge of Democracy,TV-14
cn422,Brazil,Marco Luque: Tamo Junto,TV-MA
cn423,Brazil,Dance of the Forty One,TV-MA
cn424,Brazil,Operações Especiais,TV-MA
cn425,Brazil,The First Temptation of Christ,TV-MA
cn426,Brazil,O Vendedor de Sonhos,TV-14
cn427,Brazil,The Beginning of Life 2: Outside,TV-PG
cn428,Brazil,Nobody's Looking,TV-MA
cn429,Brazil,Carnaval,TV-MA
cn430,Brazil,Tony Manero,TV-MA
cn431,Brazil,Spectros,TV-MA
cn432,Brazil,Luccas Neto in: The End of Christmas,TV-Y
cn433,Brazil,A Sort of Family,TV-14
cn434,Brazil,All The Reasons To Forget,TV-MA
cn435,Brazil,Buddies,TV-MA
cn436,Brazil,City of God,R
cn437,Brazil,Afonso Padilha: Classless,TV-MA
cn438,Brazil,The Mechanism,TV-MA
cn439,Brazil,3%,TV-MA
cn440,Brazil,Trash,R
cn441,Brazil,Nothing to Lose 2,PG-13
cn442,Brazil,Kissing Game,TV-MA
cn443,Brazil,Get the Goat,TV-14
cn444,Brazil,Z4,TV-PG
cn445,Brazil,Ana e Vitória,TV-MA
cn446,Brazil,Couples Counseling,TV-MA
cn447,Brazil,Sintonia,TV-MA
